anngel,einnova,valerapp,1234,2024-08-23,2024-08-31,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 20, 'Total': 20}]",Ejemplo descripción
q,A,valerapp,1234,2024-08-22,2024-08-22,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 20, 'Total': 20}]",A
a,aa,valerapp,1234,2024-08-22,2024-08-22,"[{'Articulo': 'a', 'Cantidad': 1, 'Precio': 20, 'Total': 20}]",a
a,a,valerapp,1234,2024-08-22,2024-08-22,"[{'Articulo': 'aq', 'Cantidad': 1, 'Precio': 10, 'Total': 10}]",aa
a,a,valerapp,a,2024-08-22,2024-08-22,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 8, 'Total': 8}]",
a,a,valerapp,a,2024-08-22,2024-08-22,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 8, 'Total': 8}]",
a,a,valerapp,a,2024-08-22,2024-08-22,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 8, 'Total': 8}]",
a,a,valerapp,a,2024-08-22,2024-08-22,"[{'Articulo': 'a', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",a
a,a,valerapp,a,2024-08-22,2024-08-22,"[{'Articulo': 'a', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",a
a,a,valerapp,a,2024-08-22,2024-08-22,"[{'Articulo': 'a', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",a
a,a,valerapp,a,2024-08-22,2024-08-22,"[{'Articulo': 'a', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",a
w,12,valerapp,12,2024-08-22,2024-08-22,"[{'Articulo': 'qw', 'Cantidad': 1, 'Precio': 8, 'Total': 8}]",w
kjl,a,valerapp,123,2024-08-22,2024-08-22,"[{'Articulo': '34r342r', 'Cantidad': 1, 'Precio': 5, 'Total': 5}]",asa
kjlAS,aA,valerapp,a1,2024-08-22,2024-08-22,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",ASA
a,a,valerapp,asa,2024-08-22,2024-08-22,"[{'Articulo': 'a', 'Cantidad': 1, 'Precio': 1, 'Total': 1}]",q
a,a,valerapp,aaa,2024-08-22,2024-08-22,"[{'Articulo': 'aaa', 'Cantidad': 1, 'Precio': 6, 'Total': 6}]",a
a,a,valerapp,1234,2024-08-22,2024-08-22,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",
a,a,valerapp,1234,2024-08-22,2024-08-22,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",sassa
a,a,valerapp,1234,2024-08-22,2024-08-22,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",sassa
a,a,valerapp,1234,2024-08-22,2024-08-22,"[{'Articulo': 'desarrollo python', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",sassa
zzz,zxzzx,valerapp,13234,2024-08-22,2024-08-22,"[{'Articulo': 'as', 'Cantidad': 1, 'Precio': 3, 'Total': 3}]",as
SDXC,SSS,valerapp,SS,2024-08-22,2024-08-22,"[{'Articulo': 'as', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",asas
SDXC,SSS,valerapp,SS,2024-08-22,2024-08-22,"[{'Articulo': 'as', 'Cantidad': 1, 'Precio': 4, 'Total': 4}]",asas
